Accession,MM mean abundances (Scaled),MM mean abundances (Scaled-Normalized),MM + Nitrogen mean abundances (Scaled),MM + Nitrogen mean abundances (Scaled-Normalized),MM mean abundances (Raw),MM mean abundances (Raw-Normalized),MM + Nitrogen mean abundances (Raw),MM + Nitrogen mean abundances (Raw-Normalized)
AO090102000092,19.566666666666666,0.1270193027550166,142.5666666666667,0.1270193027550166,21779157.0872396,0.0020451883932418704,189885554.80729166,0.05118075098805407
AO090038000279,50.96666666666667,0.019899895561047015,25.933333333333334,0.019899895561047015,137280920.73535156,0.012766273481619137,91723351.56510411,0.019406615710240355
AO090011000659,18.633333333333333,0.21174246849908054,241.13333333333335,0.21174246849908054,3544556.2597656264,0.0003282282759496868,54104836.924479164,0.014030524004437585
AO090166000084,51.26666666666667,0.0011754728300582046,1.5666666666666667,0.0011754728300582046,34344567.432291694,0.0032290662006168383,1330005.5439453132,0.0003264598113328089
AO090005000189,60.56666666666666,0.03067659712950119,35.23333333333333,0.03067659712950119,22705884.02050783,0.002157676645885657,16539438.561848966,0.004270400544185482
AO090009000219,35.96666666666667,0.08241042676733619,94.03333333333335,0.08241042676733619,6861536.835123691,0.0006412960395568063,21523197.813151065,0.005668634257299468
AO090023000804,0.7999999999999999,0.41285105344743506,439.6000000000001,0.41285105344743506,747359.8944498696,7.068297635156375e-05,506115922.170573,0.14370787392350728
AO090011000046,112.89999999999999,0.04426809249858249,53.699999999999996,0.04426809249858249,1206998230.9957693,0.11339680269424517,720882116.1236976,0.17300104576891906
AO090020000521,8.233333333333333,0.07740859598054982,91.56666666666666,0.07740859598054982,12064640.693359384,0.001181703203026412,175088824.62760434,0.0441837444200898
AO090011000119,38.6,0.12543913853285674,140.76666666666665,0.12543913853285674,97994704.60611977,0.009293356477397395,434626476.7747397,0.11936204799807597
AO090038000287,19.766666666666666,0.3178258739244391,383.0666666666666,0.3178258739244391,5720302.525390626,0.0005454508760802372,142408281.766927,0.034550996586513304
AO090009000144,28.766666666666666,0.014722827957642489,17.0,0.014722827957642489,50879294.12223307,0.00478899669413678,37002504.0094401,0.009525854376616927
AO090011000235,21.900000000000002,0.018511311613787378,21.333333333333332,0.018511311613787378,13864348.360677093,0.0012902735026603218,16421028.430338563,0.004204360277292048
AO090103000076,0.6999999999999998,0.43003548338470887,472.8999999999999,0.43003548338470887,1496426.605468753,0.00014380823699042516,1202414801.2812493,0.339312307761118
AO090020000207,35.699999999999996,0.011541180619982655,13.666666666666666,0.011541180619982655,10541803.723958327,0.0010078793244898316,5209932.563151044,0.001281062108831195
AO090003000354,8.533333333333333,0.2612393778826545,291.06666666666666,0.2612393778826545,1837025.1614583333,0.00017833145267915815,77713125.86783858,0.02194520916507017
AO090701001051,28.76666666666667,0.12554991034378335,140.03333333333333,0.12554991034378335,120938302.34741223,0.011471973163783308,721231165.5520836,0.1973610102878831
AO090023000428,18.766666666666666,0.2614697227552993,314.6666666666667,0.2614697227552993,1769647.88623047,0.00016734551924580884,37785088.481770836,0.00916386737335666
AO090005001044,53.43333333333334,0.0312233986280973,36.23333333333333,0.0312233986280973,50213548.856770836,0.004816514259343873,43172560.13151044,0.011103322325088781
AO090009000471,27.633333333333336,0.01780480793008881,20.633333333333333,0.01780480793008881,10694607.302083327,0.0010174674476777813,10176133.964518247,0.0025722787837441944
AO090005000438,15.033333333333331,0.25525996754636954,301.6666666666667,0.25525996754636954,2516167.8600260434,0.00023291236339980368,61450753.479166664,0.015247926365630174
AO090003001047,5.333333333333333,0.29243249554787537,365.59999999999997,0.29243249554787537,807250.170410158,7.705060695320475e-05,73657177.5390625,0.016807962240269484
AO090701000644,15.9,0.25149658124148144,322.06666666666666,0.25149658124148144,2646924.9446614604,0.00025021810613230327,71076746.76041667,0.01586101460598424
AO090005000064,60.833333333333336,0.007864221954416759,10.100000000000001,0.007864221954416759,19201527.4153646,0.0018081469513021502,4178321.4225260434,0.0009270674071148521
AO090023000680,35.93333333333334,0.0609843917993769,70.2,0.0609843917993769,10213357.000325529,0.0009674175344253841,24672801.06250003,0.0064322336981610115
AO090020000710,0.2333333333333333,0.4633545083096142,498.56666666666666,0.4633545083096142,29655.773111979168,2.3904374479136563e-06,66252881.848958336,0.019336331707981606
AO090102000564,32.43333333333334,0.028055863981766682,34.0,0.028055863981766682,22050653.559407566,0.0020743557946714393,29587501.660807338,0.007036247451082886
AO090003000476,99.0,0.009652669554933244,11.733333333333334,0.009652669554933244,34183888.12369793,0.003257672474270246,5327740.200195313,0.0012479970359667864
AO090023000905,94.09999999999998,0.031470816748523846,37.53333333333333,0.031470816748523846,190629201.02473998,0.018059131689139914,97255104.42252599,0.023556323203788043
AO090038000395,1.1666666666666667,0.2897568255385524,324.3333333333333,0.2897568255385524,99916.49934895866,8.843289000031515e-06,32588765.535156265,0.008603779513380365
AO090003000831,29.766666666666666,0.08751424867013864,99.5,0.08751424867013864,5912798.068359376,0.0005639979459285148,24658963.049479168,0.0064315765312245345
AO090005001671,21.000000000000004,0.2206864178925497,259.1333333333334,0.2206864178925497,2476106.5475260434,0.00023042518416384916,37168660.955729164,0.009276911857288296
AO090012000708,10.5,0.10720614967048064,117.46666666666665,0.10720614967048064,15649009.788085967,0.0014929277885373444,209315211.84375,0.060199539462601516
AO090005000409,80.0,0.09895632403682275,121.06666666666666,0.09895632403682275,61981829.87972003,0.005919410309668068,124413629.98567724,0.029343217567402383
AO090102000620,17.666666666666668,0.16068706848717723,202.23333333333335,0.16068706848717723,3596362.111328127,0.0003464197515571797,55156167.333333336,0.012733139666787867
AO090003001171,11.799999999999999,0.17819129874987885,214.1,0.17819129874987885,1549083.673665363,0.00014464031795760396,34949287.140625,0.00844660307899489
AO090120000257,15.866666666666667,0.2852336538636445,326.3333333333333,0.2852336538636445,1420285.3707682302,0.00013838608916673275,37510285.177083336,0.009981678301641034
AO090003000321,293.56666666666666,0.028798917881221794,32.86666666666667,0.028798917881221794,40900918.143229164,0.003937733310661027,5840854.075195316,0.0015083247026987136
AO090003000888,18.799999999999997,0.09623683270629906,115.09999999999998,0.09623683270629906,2318115.950520835,0.00021254478322854152,17032568.570963565,0.004176264114150324
AO090010000644,1.0999999999999999,0.41631045592603666,477.6666666666667,0.41631045592603666,156113.7063802087,1.4786918091597387e-05,87286783.00520833,0.022374753913985235
AO090009000117,32.3,0.0224404257196163,26.866666666666664,0.0224404257196163,46483102.81852213,0.00441245252998009,49468239.01497397,0.012088330473678263
AO090005001556,9.533333333333333,0.2703718381064535,305.9,0.2703718381064535,789910.3077799493,7.36275008288649e-05,30819099.191406265,0.008146027596799143
AO090009000568,24.599999999999998,0.08162183202185037,96.86666666666667,0.08162183202185037,2811140.06901042,0.0002613056552262117,13462936.9622396,0.0033605734999941667
AO090120000215,1.2,0.3484801438627229,442.2,0.3484801438627229,94224.118326823,8.811820781949513e-06,47636018.47591147,0.010848186319549124
AO090011000357,92.66666666666667,0.13456733467163268,168.03333333333333,0.13456733467163268,7955655.529947919,0.0007434431170610891,18341687.9609375,0.004251746744000767
AO090120000454,29.099999999999998,0.0,0.13333333333333333,0.0,15510387.483072935,0.0014941364875237435,99728.31315104167,2.0133343021749624e-05
AO090012000926,45.56666666666666,0.08327362145943464,96.46666666666665,0.08327362145943464,7097814.252929703,0.0006620123120888189,18109772.671875,0.004624427930807691
AO090038000337,37.86666666666667,0.008871974404976828,9.633333333333335,0.008871974404976828,3516301.560221357,0.00033546972764711934,1108809.2096354167,0.00029875471183925256
AO090103000153,53.96666666666667,0.07351373708803823,90.39999999999999,0.07351373708803823,5707820.224609376,0.0005364784743209587,12261466.243489584,0.002856184445053383
AO090003001062,50.73333333333333,0.03835020581351152,45.633333333333326,0.03835020581351152,11498346.259114616,0.0011054356395275025,13384157.164062517,0.0032512482061981865
AO090003001045,12.633333333333333,0.2326770998564258,277.8666666666666,0.2326770998564258,901215.5760091161,8.288907312944714e-05,23984498.291666668,0.005874262211825545
AO090011000052,18.599999999999998,0.0016287187451913328,2.0666666666666664,0.0016287187451913328,2465020.7023112,0.00023883883004514224,343881.5458984377,9.179962669691488e-05
AO090701000071,102.66666666666667,0.024543093431034613,30.5,0.024543093431034613,15301950.3046875,0.0014606357591449978,5925473.384114583,0.0014165806002793366
AO090001000733,2.1,0.31256135112031885,370.76666666666665,0.31256135112031885,133042.92513020834,1.208988162567369e-05,29307143.861979198,0.007410377148416761
AO090701000013,6.633333333333333,0.2535456475665105,288.06666666666666,0.2535456475665105,438099.2102864585,3.974320644984837e-05,22060987.15625,0.00581273664655671
AO090701000246,71.63333333333334,0.16110727992253213,182.33333333333334,0.16110727992253213,17328709.147135433,0.0016667158960311246,55382404.6640625,0.014615961604403973
AO090102000117,21.900000000000002,0.14503287478416002,180.4333333333333,0.14503287478416002,1315574.7643229198,0.0001244589435895002,14075936.6015625,0.003308892882186842
AO090005001484,50.43333333333334,0.21130320400230387,251.23333333333335,0.21130320400230387,5693292.865559897,0.0005539046854756831,37863680.161458336,0.009140728986930035
AO090020000650,84.06666666666666,0.07396546972648754,88.5,0.07396546972648754,8094396.52669271,0.0007556657785712774,10581503.53515625,0.0025487429645381344
AO090010000729,5.233333333333333,0.2727513431148429,322.26666666666665,0.2727513431148429,250466.76692708334,2.2673276150729238e-05,18561351.0078125,0.004646237892267534
AO090120000493,1.7,0.37724193061319006,466.06666666666666,0.37724193061319006,118180.92301432294,1.0573082350702467e-05,40359476.863281265,0.009540057623681644
AO090005001509,34.233333333333334,0.16337144626210645,205.0,0.16337144626210645,6833402.663574219,0.0006506662378835352,55041168.63932294,0.012554486034950253
AO090701000749,20.266666666666666,0.14027397016453788,168.20000000000002,0.14027397016453788,2016900.4770507833,0.0001873711349394651,20756848.447916668,0.00500395469940202
AO090701001053,157.26666666666668,0.06094636290884212,73.8,0.06094636290884212,14518420.430989599,0.0013665936991786552,8397148.818359382,0.0021274205988441462
AO090120000112,3.8666666666666667,0.34432858742812655,400.9666666666667,0.34432858742812655,601549.0856119794,5.6304102671317515e-05,77659010.40104167,0.01956818208708835
AO090003001498,34.56666666666667,0.002493293330588522,3.3333333333333335,0.002493293330588522,4338718.839192707,0.0004055807342579777,556015.8696289071,0.00011767204665873275
AO090010000482,1.2,0.3576795001014182,429.5333333333333,0.3576795001014182,36766.940592447936,3.021030792271758e-06,16066955.648437535,0.003931173157268712
AO090701000167,5.8999999999999995,0.3248984203866112,404.1333333333334,0.3248984203866112,390083.729980469,3.665645962558473e-05,34746611.635416664,0.008023136787240702
AO090020000520,28.799999999999997,0.18782926531307922,214.20000000000002,0.18782926531307922,2706144.185221354,0.0002577753251348785,24622303.244791668,0.006497585078394777
AO090701000389,53.96666666666667,0.0945114350886667,114.39999999999999,0.0945114350886667,4822557.423828127,0.0004523535941169238,12905444.846354166,0.0030644947700792027
AO090023000209,32.43333333333333,0.033494673712839464,39.4,0.033494673712839464,3897654.3040364594,0.0003673587880056743,5883181.005859376,0.001468144550065621
AO090102000558,5.133333333333333,0.22144731763192974,246.9666666666667,0.22144731763192974,632905.828938802,6.004138120677952e-05,37801605.885416664,0.009951235424610025
AO090038000417,19.266666666666666,0.31665128035878404,394.7,0.31665128035878404,327795.0248209637,3.1286306215754025e-05,9118686.044921877,0.0020645878530639416
AO090026000662,27.5,0.10524979803543921,119.26666666666667,0.10524979803543921,6237406.9075521035,0.0005854212637346033,32489687.817708332,0.008470258826965974
AO090026000708,6.233333333333334,0.3240095971460291,400.73333333333335,0.3240095971460291,573208.0638020836,5.356271649551939e-05,46549506.49609377,0.01097097585993106
AO090001000617,82.13333333333334,0.003639796520681768,4.633333333333334,0.003639796520681768,7871258.669270833,0.0007525866498116377,580705.2584635416,0.00013587832175289283
AO090003001507,12.566666666666668,0.22533441718014294,256.06666666666666,0.22533441718014294,1275081.9990234377,0.00012219367739085095,31696635.989583332,0.008658882208172
AO090020000517,32.86666666666667,0.048138170395292175,57.46666666666667,0.048138170395292175,4133574.928710937,0.0003937486571432896,9164584.081380202,0.00229315214529149
AO090103000007,0.0,0.32700318297266834,391.76666666666665,0.32700318297266834,0.0,0.0,11609398.0625,0.0028625555514672028
AO090012000590,111.40000000000002,0.07279875691237654,90.46666666666665,0.07279875691237654,11486876.958333334,0.0010967858370640208,12352241.328125,0.0028577003895517475
AO090103000216,9.799999999999999,0.36512061371862514,422.76666666666665,0.36512061371862514,523080.032063802,4.9237038885097876e-05,28913200.575520832,0.007050210769499345
AO090005000789,3.25,0.33091657530099355,392.59999999999997,0.33091657530099355,69379.52392578125,5.998463782332692e-06,10012856.9375,0.002470119034755694
AO090009000457,106.36666666666667,0.09737870969816832,116.63333333333334,0.09737870969816832,10111935.397623697,0.0009640156699617415,14156276.203125,0.0035452407772990613
AO090003001484,62.93333333333334,0.11698700396518662,140.76666666666668,0.11698700396518662,21733085.8079427,0.00205267910017552,61531607.697916664,0.014869761984351373
AO090005001347,18.53333333333333,0.022082344937180493,26.599999999999998,0.022082344937180493,878582.5169270849,8.234114538371318e-05,1514138.8020833333,0.0004111273491969776
AO090003000746,36.233333333333334,0.1136654609852004,127.33333333333333,0.1136654609852004,1746584.1311848995,0.00016085974712049648,7080565.276041667,0.0018915438713029392
AO090113000063,9.666666666666666,0.25491170428256105,360.6333333333334,0.25491170428256105,223156.4580078124,2.150637593805401e-05,12284356.984375,0.0023388253862197997
AO090038000420,35.199999999999996,0.0008953617049933805,0.9666666666666667,0.0008953617049933805,5697715.388020833,0.0005480982400831999,205511.302734375,5.0615467764135256e-05
AO090003000680,25.266666666666666,0.016756488494377636,20.2,0.016756488494377636,2410765.03450521,0.0002278701357246567,2438745.8424479165,0.0005918173033175393
AO090003000053,36.13333333333333,0.12154272645945748,147.0,0.12154272645945748,5293637.684244793,0.0005069748842183303,28125596.75,0.0067468587495743354
AO090023000241,3.95,0.27194063680568753,329.8333333333333,0.27194063680568753,196643.43359375,1.8366447155796196e-05,20690896.416666668,0.00509054739646082
AO090026000516,43.13333333333333,0.20290958254219374,246.76666666666665,0.20290958254219374,3147042.35123698,0.0003011199495234316,23911142.424479168,0.005620782379888969
AO090003000140,24.233333333333334,0.035028575020260695,42.3,0.035028575020260695,1527628.8203125,0.00014677033763427306,3455713.87109375,0.0008322446729838593
AO090701000220,78.7,0.031792236680291304,40.233333333333334,0.031792236680291304,6769382.358723977,0.0006330385432417372,4427495.579427083,0.0010025698425280508
AO090009000493,25.7,0.11935379972105221,137.03333333333333,0.11935379972105221,1505135.5600585935,0.00014174462615482386,9931108.48307292,0.002533559690136309
AO090038000258,17.433333333333334,0.1411962700673064,161.13333333333333,0.1411962700673064,2224461.2630208335,0.00021483573025458448,25575254.8046875,0.006963381899548845
AO090011000638,33.199999999999996,0.18317759365368705,233.86666666666667,0.18317759365368705,9080932.218098978,0.0008673960380933186,85359279.22135417,0.019145786826438707
AO090009000634,0.65,0.2996239140895438,349.23333333333335,0.2996239140895438,18150.34191894534,1.2019089914345997e-06,11381192.643229166,0.0028828994237266883
AO090003000257,1.0,0.3886644282749863,463.5666666666666,0.3886644282749863,26397.4584960938,1.855623169462533e-06,14005605.113281267,0.003432422280360199
AO090206000073,6.533333333333334,0.3218257625682946,365.0,0.3218257625682946,243334.34521484366,2.2274260069825346e-05,16065337.833333334,0.004270031130196986
AO090023000918,115.76666666666667,0.06866846935765135,86.39999999999999,0.06866846935765135,32020991.206705734,0.0030035242425460545,30615137.333333332,0.007015327963860698
AO090003001227,21.3,0.3097928213628105,372.3666666666666,0.3097928213628105,1502922.470703126,0.00014652161052568268,34912105.496744804,0.008436986502991566
AO090102000627,35.86666666666667,0.15173850538196504,196.63333333333333,0.15173850538196504,1439758.2874348958,0.000133456848061104,10243626.48828125,0.002213433319568029
AO090005000617,3.966666666666667,0.290621328766197,354.43333333333334,0.290621328766197,156640.09244791666,1.3889707767754969e-05,16734035.036458334,0.004022275954686939
AO090701000089,4.333333333333333,0.3536760590738097,459.7333333333333,0.3536760590738097,88476.77766927083,8.386722018380622e-06,13418367.104166666,0.0029595189731749442
AO090701001162,11.5,0.29706770008497957,333.2,0.29706770008497957,518694.7633463543,4.837769139926524e-05,18621442.041666668,0.004874958497494628
AO090026000766,58.833333333333336,0.09348978574431399,110.5,0.09348978574431399,3768575.7610677104,0.000353993476860135,8901123.2578125,0.0021772555233028953
AO090120000335,25.900000000000002,0.1752057285441632,216.0666666666667,0.1752057285441632,2851233.123372397,0.0002662706231291243,29718633.994791668,0.00706795085335966
AO090701000540,14.0,0.015960693400423127,19.066666666666666,0.015960693400423127,1672305.5794270833,0.00015729048581300314,2751449.3268229165,0.0007271976582639998
AO090023000474,65.36666666666666,0.03205934929576163,37.96666666666667,0.03205934929576163,9477178.026692709,0.0008931582482949148,6864784.48828125,0.0017201195791695194
AO090012000372,142.4333333333333,0.11691484093685818,145.63333333333335,0.11691484093685818,9956914.739583334,0.0009351429553225163,13082581.24609375,0.0029955645793407633
AO090102000089,6.366666666666667,0.013859169536591907,17.233333333333334,0.013859169536591907,690942.0473632814,6.46837139838219e-05,2366362.169596353,0.0005745865087312592
AO090003000938,15.600000000000001,0.19377224579390265,236.6,0.19377224579390265,1015071.640625,9.739884812452197e-05,20274867.8671875,0.004852889777396172
AO090023000923,5.833333333333333,0.15225306153061813,169.53333333333333,0.15225306153061813,176574.9599609374,1.5799304966535666e-05,5820803.307291667,0.0015780221588410533
AO090038000471,0.8,0.4096768746352078,493.1333333333334,0.4096768746352078,9716.515625,6.041530078925091e-07,7997447.473958333,0.0019325094215723075
AO090038000562,18.8,0.21512401676218973,265.26666666666665,0.21512401676218973,631168.791666667,5.9405262089792073e-05,11523149.997395834,0.0026982503771943674
AO090009000579,153.5,0.08259784911913187,98.60000000000001,0.08259784911913187,13803191.920572935,0.001306395537012086,11282049.158854166,0.002757835063012046
AO090701000525,50.43333333333334,0.17011670284547128,208.73333333333335,0.17011670284547128,3198905.1770833363,0.00029676724533089847,16342699.9921875,0.003873556175068803
AO090023000264,9.700000000000001,0.27735201889820166,341.63333333333327,0.27735201889820166,202513.115559896,1.8617757767684028e-05,8984584.049479166,0.002085490981785679
AO090012000998,15.666666666666666,0.30726578383249964,347.8666666666666,0.30726578383249964,386634.65527343797,3.571371812978376e-05,10215579.895833334,0.002668986356779974
AO090005000588,2.9,0.10331602961607156,119.63333333333333,0.10331602961607156,69884.68098958333,6.1015799835144565e-06,3451089.8567708335,0.0008761745167521739
AO090012000725,2.2,0.42552258739090537,466.7,0.42552258739090537,29803.515625,2.158683746649619e-06,6746117.658854167,0.0018898714477555954
AO090011000202,0.7,0.3183771456184872,390.3666666666666,0.3183771456184872,21981.36743164065,1.6452011171513128e-06,15901417.833333334,0.0037462571389927954
AO090005000457,22.566666666666666,0.16234367562151114,187.9333333333333,0.16234367562151114,578351.803059896,5.406841945453032e-05,6034728.458333333,0.0015119945645369513
AO090120000058,81.63333333333334,0.0019822676615301785,2.8666666666666667,0.0019822676615301785,2691507.2050781264,0.00025100476292720794,121606.38411458333,2.4104116995871875e-05
AO090020000162,85.76666666666665,0.18741631975404424,219.9333333333333,0.18741631975404424,3123739.3834635434,0.000293850160619066,10030212.901041666,0.0024794729964575015
AO090005000897,26.73333333333333,0.10351598957415054,117.26666666666665,0.10351598957415054,16619848.833984368,0.001585158350419099,88957779.46875,0.024188577383026905
AO090011000626,0.8,0.34240547090500123,389.6333333333334,0.34240547090500123,110135.4375,9.306373197708109e-06,56347546.223958336,0.015169775061689317
AO090009000553,167.1,0.07038614758472235,85.2,0.07038614758472235,94122549.75520833,0.008984741859417817,62263758.625,0.015091310881396614
AO090010000480,1.15,0.3482259425297247,417.6333333333334,0.3482259425297247,23709.15576171875,1.758304104027188e-06,10348948.96875,0.0025618166169945923
AO090011000808,55.199999999999996,0.25110072401644884,280.2333333333333,0.25110072401644884,3097661.1487630233,0.00029465407724519347,19413509.760416668,0.005202934676225104
AO090012000125,1.2666666666666668,0.3996232068271192,469.93333333333334,0.3996232068271192,100684.99658203132,9.482251916163277e-06,48436145.28776044,0.012186943894187641
AO090120000279,62.63333333333333,0.061981691247669383,70.46666666666667,0.061981691247669383,4198698.70703125,0.00039298016504041706,5735555.541666667,0.0014864509712448678
AO090026000298,53.833333333333336,0.06773707694205396,81.46666666666665,0.06773707694205396,6176595.765625,0.0005831558570358264,11816425.330729166,0.0028918692482863156
AO090011000883,2.966666666666667,0.3465522227327327,413.5333333333333,0.3465522227327327,94038.49837239599,8.541170900087166e-06,16708864.161458334,0.004103458859531226
AO090020000015,1.7,0.3522905257879257,396.93333333333334,0.3522905257879257,20258.34765625,1.670185211591524e-06,6167500.822916667,0.0016146715268000277
AO090012000482,61.9,0.09281804989397778,112.39999999999999,0.09281804989397778,7800713.962076823,0.0007375736616042683,18235923.065104168,0.0043858916652504245
AO090011000053,5.900000000000001,0.2191494895450601,249.93333333333337,0.2191494895450601,262994.603841146,2.471672066236416e-05,14495274.46875,0.0036436494609081572
AO090003001322,0.8333333333333334,0.34266883272944454,411.9666666666667,0.34266883272944454,151588.3994140625,1.328075835663115e-05,88172292.578125,0.021946416973341223
AO090011000414,0.15000000000000002,0.3530552436027345,428.8333333333333,0.3530552436027345,9858.2490234375,5.2445251950874e-07,36380384.692708336,0.008941994634502367
AO090005000639,2.1333333333333333,0.34227678972488595,414.7333333333333,0.34227678972488595,29470.367350260418,2.5128967114979115e-06,7881861.0078125,0.0018910624706907743
AO090103000073,35.43333333333333,0.010641196670786343,12.466666666666667,0.010641196670786343,1665692.9090169265,0.00015768467250349671,753670.90625,0.0001818258104373088
AO090011000486,12.0,0.3208193956446783,384.2,0.3208193956446783,201539.76171875,1.9496756441788613e-05,8571608.6171875,0.0021025494837947655
AO090003000121,12.5,0.2792031917959478,323.7,0.2792031917959478,174785.36962890645,1.5764669068259113e-05,5427557.861328126,0.0013633397348887905
AO090005000871,25.633333333333336,0.15635095498998497,183.5,0.15635095498998497,836304.4557291666,7.905202685747898e-05,7678027.6875,0.0018438884360370336
AO090010000704,0.4,0.12463810392237103,150.56666666666666,0.12463810392237103,29867.103515625,2.3449698678668896e-06,13291627.080729166,0.0035360736175859427
AO090113000062,35.13333333333333,0.12132597603908662,154.76666666666668,0.12132597603908662,2001948.1380208333,0.0001925044447111762,12059407.044270834,0.00267075569399994
AO090020000008,36.0,0.1284643425413635,164.63333333333333,0.1284643425413635,804145.1516927084,7.53787190930349e-05,4863828.161458333,0.0010564329375062802
AO090012000809,3.8499999999999996,0.09557137455349411,112.63333333333333,0.09557137455349411,91115.9301757815,7.904561517099895e-06,3125566.66015625,0.0007776966531192284
AO090038000364,26.166666666666668,0.1177582777836439,137.96666666666667,0.1177582777836439,886419.4837239584,8.381995232982664e-05,6004390.127604167,0.0014664864341182259
AO090001000526,2.1,0.3189388622131313,376.73333333333335,0.3189388622131313,16401.4116210938,1.2801564187882136e-06,4091455.1015625,0.0010105524971119792
AO090023000056,107.66666666666667,0.05759685305594201,77.46666666666668,0.05759685305594201,7898309.546875,0.0007417702704842826,7693134.5859375,0.0015790538447406743
AO090026000651,18.76666666666667,0.3070854460210489,376.09999999999997,0.3070854460210489,379381.0602213543,3.540011962129213e-05,9696902.473958334,0.002330637523045712
AO090003000457,3.05,0.32595872161565603,425.53333333333336,0.32595872161565603,39843.8662109375,3.248142448167041e-06,6981106.182291667,0.0014986900413460982
AO090012000528,43.06666666666667,0.2294257158390234,269.0333333333333,0.2294257158390234,975981.6624348942,9.263400334195992e-05,7685737.505208333,0.0019014933464905983
AO090011000195,3.1666666666666665,0.08695869603703882,96.90000000000002,0.08695869603703882,581158.1419270834,5.5645188990554977e-05,21852804.984375,0.006328922661429928
AO090011000745,84.3,0.008429761319631498,9.0,0.008429761319631498,5324866.869791667,0.0005049270976903592,700246.9830729166,0.00018525382653067043
AO090103000136,6.766666666666666,0.3256500535048992,402.8333333333333,0.3256500535048992,206968.65917968765,1.9144315775956864e-05,15916603.2734375,0.0037139375339804315
AO090003000174,0.0,0.42647267530089095,479.0333333333333,0.42647267530089095,0.0,0.0,4504049.432291667,0.0012058645802492907
AO090010000202,120.3,0.035237964745483956,46.900000000000006,0.035237964745483956,4107191.7890625,0.0003883074864286216,2132992.0527343764,0.0004597797985808326
AO090003000661,0.6,0.22500808441608622,280.0,0.22500808441608622,12135.544921875,8.669590737066941e-07,8578923.786458334,0.0019470951799681515
AO090003000927,0.9,0.29442965713115865,361.1333333333334,0.29442965713115865,18716.33203125,1.1721799587991478e-06,8652179.677083334,0.002038587084781879
AO090026000260,8.05,0.2765893182018724,328.23333333333335,0.2765893182018724,154632.85205078148,1.4026623752907758e-05,7891022.661458333,0.001979457329577218
AO090701000295,25.099999999999998,0.05776768918262121,64.26666666666667,0.05776768918262121,82563553.3896486,0.007849692023551064,259351714.777995,0.07133803988828308
AO090001000383,53.93333333333334,0.13146542445150206,151.03333333333333,0.13146542445150206,4756153.1238606805,0.00045126820226866737,16472627.436197931,0.004299110775163506
AO090012000143,6.133333333333333,0.005465759149043941,6.050000000000001,0.005465759149043941,602246.2421875,5.502808120907539e-05,641397.515625,0.00019778110050463652
AO090103000340,12.633333333333333,0.17984074223943117,214.86666666666665,0.17984074223943117,223427.25716145834,2.0092502445003192e-05,4556272.963541667,0.0011357633761953656
